source,model,parameter,Conventions,load_function,plot_color,plot_linestyle,plot_marker,paths
CCMI-1,ACCESS_ACCESS-CCM-refC2,tco3_zm,CF-1.4,ccmi,purple,solid,o,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/ACCESS/ACCESS-CCM/refC2/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,ACCESS_ACCESS-CCM-senC2fGHG,tco3_zm,CF-1.4,ccmi,purple,solid,o,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/ACCESS/ACCESS-CCM/senC2fGHG/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,ACCESS_ACCESS-CCM-senC2fODS,tco3_zm,CF-1.4,ccmi,purple,solid,o,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/ACCESS/ACCESS-CCM/senC2fODS/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,CCCma_CMAM-refC2,tco3_zm,CF-1.4,ccmi,red,solid,x,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/refC2/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,CCCma_CMAM-senC2CH4rcp85,tco3_zm,CF-1.4,ccmi,red,solid,x,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/senC2CH4rcp85/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,CCCma_CMAM-senC2fCH4,tco3_zm,CF-1.4,ccmi,red,solid,x,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/senC2fCH4/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,CCCma_CMAM-senC2fGHG,tco3_zm,CF-1.4,ccmi,red,solid,x,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/senC2fGHG/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,CCCma_CMAM-senC2fN2O,tco3_zm,CF-1.4,ccmi,red,solid,x,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/senC2fN2O/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,CCCma_CMAM-senC2fODS,tco3_zm,CF-1.4,ccmi,red,solid,x,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/senC2fODS/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,CCCma_CMAM-senC2rcp26,tco3_zm,CF-1.4,ccmi,red,solid,x,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/senC2rcp26/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,CCCma_CMAM-senC2rcp45,tco3_zm,CF-1.4,ccmi,red,solid,x,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/senC2rcp45/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,CCCma_CMAM-senC2rcp85,tco3_zm,CF-1.4,ccmi,red,solid,x,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CCCma/CMAM/senC2rcp85/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,CESM1-CAM4Chem_refC1_r1i1p1,tco3_zm,CF-1.4,ccmi,darkorange,dashed,d,Ccmi/Waccm/toz_monthly_CESM1-CAM4Chem_refC1_r1i1p1_195001-201012.nc
CCMI-1,CESM1-CAM4Chem_refC1_r2i1p1,tco3_zm,CF-1.4,ccmi,darkorange,dashed,d,Ccmi/Waccm/toz_monthly_CESM1-CAM4Chem_refC1_r2i1p1_195001-201012.nc
CCMI-1,CESM1-CAM4Chem_refC1_r3i1p1,tco3_zm,CF-1.4,ccmi,darkorange,dashed,d,Ccmi/Waccm/toz_monthly_CESM1-CAM4Chem_refC1_r3i1p1_195001-201012.nc
CCMI-1,CESM1-CAM4Chem_refC2_r1i1p1,tco3_zm,CF-1.4,ccmi,darkorange,dashed,d,Ccmi/Waccm/toz_monthly_CESM1-CAM4Chem_refC2_r1i1p1_195001-210011.nc
CCMI-1,CESM1-CAM4Chem_refC2_r2i1p1,tco3_zm,CF-1.4,ccmi,darkorange,dashed,d,Ccmi/Waccm/toz_monthly_CESM1-CAM4Chem_refC2_r2i1p1_195201-209912.nc
CCMI-1,CESM1-CAM4Chem_refC2_r3i1p1,tco3_zm,CF-1.4,ccmi,darkorange,dashed,d,Ccmi/Waccm/toz_monthly_CESM1-CAM4Chem_refC2_r3i1p1_195101-209912.nc
CCMI-1,CESM1-CAM4ChemSD_refC1SD_r1i1p1,tco3_zm,CF-1.4,ccmi,darkorange,dashed,d,Ccmi/Waccm/toz_monthly_CESM1-CAM4ChemSD_refC1SD_r1i1p1_197901-201012.nc
CCMI-1,CESM1-WACCM_refC1_r1i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_refC1_r1i1p1_195501-201411.nc
CCMI-1,CESM1-WACCM_refC1_r2i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_refC1_r2i1p1_195501-201411.nc
CCMI-1,CESM1-WACCM_refC1_r3i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_refC1_r3i1p1_195501-201411.nc
CCMI-1,CESM1-WACCM_refC2_r1i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_refC2_r1i1p1_195501-209912.nc
CCMI-1,CESM1-WACCM_refC2_r2i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_refC2_r2i1p1_195501-209912.nc
CCMI-1,CESM1-WACCM_refC2_r3i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_refC2_r3i1p1_195501-209912.nc
CCMI-1,CESM1-WACCM_senC2ch4rcp85_r1i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2ch4rcp85_r1i1p1_200001-209912.nc
CCMI-1,CESM1-WACCM_senC2fch41960_r1i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2fch41960_r1i1p1_196001-209912.nc
CCMI-1,CESM1-WACCM_senC2femis_r1i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2femis_r1i1p1_196001-209912.nc
CCMI-1,CESM1-WACCM_senC2fghg1960_r1i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2fghg1960_r1i1p1_196001-209912.nc
CCMI-1,CESM1-WACCM_senC2fghg1960_r2i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2fghg1960_r2i1p1_196001-209912.nc
CCMI-1,CESM1-WACCM_senC2fghg1960_r3i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2fghg1960_r3i1p1_196001-209912.nc
CCMI-1,CESM1-WACCM_senC2fn2o1960_r1i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2fn2o1960_r1i1p1_196001-209912.nc
CCMI-1,CESM1-WACCM_senC2fods1960_r1i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2fods1960_r1i1p1_196001-209912.nc
CCMI-1,CESM1-WACCM_senC2fods1960_r2i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2fods1960_r2i1p1_196001-209912.nc
CCMI-1,CESM1-WACCM_senC2fods1960_r3i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2fods1960_r3i1p1_196001-209912.nc
CCMI-1,CESM1-WACCM_senC2fods2000_r1i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2fods2000_r1i1p1_200001-209912.nc
CCMI-1,CESM1-WACCM_senC2fods2000_r2i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2fods2000_r2i1p1_200001-209912.nc
CCMI-1,CESM1-WACCM_senC2fods2000_r3i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2fods2000_r3i1p1_200001-209912.nc
CCMI-1,CESM1-WACCM_senC2rcp45_r1i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2rcp45_r1i1p1_200101-209912.nc
CCMI-1,CESM1-WACCM_senC2rcp85_r1i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2rcp85_r1i1p1_200101-209912.nc
CCMI-1,CESM1-WACCM_senC2rcp85_r2i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2rcp85_r2i1p1_200101-209912.nc
CCMI-1,CESM1-WACCM_senC2rcp85_r3i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCM_senC2rcp85_r3i1p1_200101-209912.nc
CCMI-1,CESM1-WACCMSD_refC1SD_r1i1p1,tco3_zm,CF-1.4,ccmi,darkorange,solid,s,Ccmi/Waccm/toz_monthly_CESM1-WACCMSD_refC1SD_r1i1p1_197901-201412.nc
CCMI-1,CHASER-MIROC-ESM-refC2,tco3_zm,CF-1.4,ccmi,dimgray,dashed,o,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CHASER-MIROC-ESM/CHASER-MIROC-ESM/refC2/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,CHASER-MIROC-ESM-senC2fCH4,tco3_zm,CF-1.4,ccmi,dimgray,dashed,o,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CHASER-MIROC-ESM/CHASER-MIROC-ESM/senC2fCH4/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,CHASER-MIROC-ESM-senC2fEmis,tco3_zm,CF-1.4,ccmi,dimgray,dashed,o,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CHASER-MIROC-ESM/CHASER-MIROC-ESM/senC2fEmis/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,CHASER-MIROC-ESM-senC2fGHG,tco3_zm,CF-1.4,ccmi,dimgray,dashed,o,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CHASER-MIROC-ESM/CHASER-MIROC-ESM/senC2fGHG/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,CHASER-MIROC-ESM-senC2fN2O,tco3_zm,CF-1.4,ccmi,dimgray,dashed,o,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CHASER-MIROC-ESM/CHASER-MIROC-ESM/senC2fN2O/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,CHASER-MIROC-ESM-senC2fODS,tco3_zm,CF-1.4,ccmi,dimgray,dashed,o,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CHASER-MIROC-ESM/CHASER-MIROC-ESM/senC2fODS/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,CNRM-CERFACS_CNRM-CM5-3-refC2,tco3_zm,CF-1.4,ccmi,darkcyan,dotted,o,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CNRM-CERFACS/CNRM-CM5-3/refC2/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,CNRM-CERFACS_MOCAGE-refC2,tco3_zm,CF-1.4,ccmi,darkcyan,dotted,o,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/CNRM-CERFACS/MOCAGE/refC2/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,ETH-PMOD_SOCOL3-refC2,tco3_zm,CF-1.4,ccmi,darkkhaki,solid,d,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/ETH-PMOD/SOCOL3/refC2/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,ETH-PMOD_SOCOL3-senC2CH4rcp85,tco3_zm,CF-1.4,ccmi,darkkhaki,solid,d,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/ETH-PMOD/SOCOL3/senC2CH4rcp85/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,ETH-PMOD_SOCOL3-senC2fCH4,tco3_zm,CF-1.4,ccmi,darkkhaki,solid,d,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/ETH-PMOD/SOCOL3/senC2fCH4/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,ETH-PMOD_SOCOL3-senC2fEmis,tco3_zm,CF-1.4,ccmi,darkkhaki,solid,d,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/ETH-PMOD/SOCOL3/senC2fEmis/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
CCMI-1,ETH-PMOD_SOCOL3-senC2fN2O,tco3_zm,CF-1.4,ccmi,darkkhaki,solid,d,Ccmi/ftp.ceda.ac.uk/badc/wcrp-ccmi/data/CCMI-1/output/ETH-PMOD/SOCOL3/senC2fN2O/mon/atmos/monthly/r1i1p1/v1/toz/*.nc
